證券代號,證券名稱,成交數量,成交筆數,成交金額,成交價,最後揭示買量,最後揭示賣量
087028,漢翔元富3A購01,0,0,0,1.96,0,0
087030,亞光元富41購01,0,0,0,1.19,0,0
087031,亞光元富41購02,0,0,0,1.37,0,0
087032,聯鈞元富3A購03,0,0,0,1.26,0,0
087033,碩天元富3A購01,0,0,0,2.41,0,0
087034,天鈺元富3A購02,0,0,0,0.98,0,0
087035,天鈺元富3A購03,0,0,0,1.07,0,0
087042,寶成元富3A購01,0,0,0,1.88,0,0
087043,東陽統一45購03,0,0,0,0.68,0,0
087044,華新統一43購02,0,0,0,0.75,0,0
087045,華榮統一43購04,0,0,0,1.1,0,0
087046,華榮統一44購01,0,0,0,0.92,0,0
087047,華榮統一44購02,0,0,0,1.02,0,0
087050,上銀統一44購01,0,0,0,0.49,0,0
087055,鴻海統一46購11,0,0,0,0.72,0,0
087056,鴻海統一4C購03,0,0,0,0.65,0,0
087057,鴻海統一51購01,0,0,0,0.68,0,0
087058,鴻海統一54購01,0,0,0,0.76,0,0
087062,大同統一47購01,0,0,0,0.46,0,0
087063,大同統一4A購01,0,0,0,0.62,0,0
087065,漢翔統一43購01,0,0,0,0.81,0,0
087066,漢翔統一44購01,0,0,0,0.72,0,0
087067,漢翔統一47購01,0,0,0,0.83,0,0
087069,辛耘統一44購01,0,0,0,0.81,0,0
087070,神達統一44購01,0,0,0,0.52,0,0
087072,上品統一44購01,0,0,0,0.55,0,0
087073,上品統一44購02,0,0,0,0.68,0,0
087076,豐藝統一43購04,0,0,0,0.67,0,0
087077,佳必琪統一44購02,0,0,0,1.07,0,0
087078,佳必琪統一46購01,0,0,0,0.9,0,0
087081,至上統一44購01,0,0,0,0.78,0,0
087084,華電國票3B購01,0,0,0,0.98,0,0
087085,鴻海國票3C購03,0,0,0,2.12,0,0
087086,鴻海國票3C購04,0,0,0,1.85,0,0
087087,燿華國票3A購02,0,0,0,1.93,0,0
087089,長榮國票45購01,0,0,0,2.51,0,0
087090,上緯控國票3C購02,0,0,0,1.29,0,0
087091,亞翔國票3B購03,0,0,0,3.98,0,0
087092,亞翔國票3C購01,0,0,0,4.3,0,0
087093,亞翔國票41購01,0,0,0,4.73,0,0
087094,佳必琪國票41購01,0,0,0,2.26,0,0
087095,聯茂國票3B購01,0,0,0,7.4,0,0
087098,穎崴國票3B購01,0,0,0,4.72,0,0
087099,中砂群益3A購04,0,0,0,2.03,0,0
087100,華新群益3A購02,0,0,0,3.73,0,0
087102,潤隆群益41購01,0,0,0,0.75,0,0
087107,台積電群益3A購07,0,0,0,2.56,0,0
087110,大同群益41購01,0,0,0,1.6,0,0
087111,技嘉群益44購01,0,0,0,0.78,0,0
087112,南亞科群益3A購01,0,0,0,1.26,0,0
087113,慧洋群益3A購01,0,0,0,2.68,0,0
087115,晶技群益3C購01,0,0,0,0.95,0,0
087116,玉晶光群益3C購03,0,0,0,1.04,0,0
087117,上緯控群益42購01,0,0,0,1.31,0,0
087120,世紀鋼群益3A購05,0,0,0,1.61,0,0
087121,長榮台新3A購01,0,0,0,1.09,0,0
087122,東元元大3B購01,0,0,0,1.52,0,0
087123,華電元大3A購01,0,0,0,1.21,0,0
087124,大亞元大3A購07,0,0,0,1.29,0,0
087125,大亞元大3C購02,0,0,0,1.39,0,0
087126,台達電元大3A購05,0,0,0,1.12,0,0
087127,台達電元大3A購06,0,0,0,1.18,0,0
087128,台達電元大3A購07,0,0,0,0.87,0,0
087129,鴻海元大3B購04,0,0,0,0.86,0,0
087130,鴻海元大41購04,0,0,0,0.92,0,0
087131,鴻海元大44購01,0,0,0,0.85,0,0
087132,台積電元大3A購13,0,0,0,1.59,0,0
087133,台積電元大3A購14,0,0,0,1.92,0,0
087134,台積電元大3A購15,0,0,0,1.82,0,0
087135,智邦元大3B購01,0,0,0,1.64,0,0
087136,華碩元大3A購01,0,0,0,1.2,0,0
087137,華碩元大3A購02,0,0,0,1.04,0,0
087138,大同元大3A購03,0,0,0,1.26,0,0
087139,大同元大3A購04,0,0,0,1.19,0,0
087140,大同元大3A購05,0,0,0,0.83,0,0
087141,可成元大3B購02,0,0,0,0.99,0,0
087142,奇鋐元大3A購07,0,0,0,0.99,0,0
087143,欣興元大3A購03,0,0,0,1.14,0,0
087144,欣興元大41購02,0,0,0,1.23,0,0
087145,欣興元大44購01,0,0,0,1.15,0,0
087146,建漢元大3A購01,0,0,0,0.99,0,0
087147,辛耘元大3B購02,0,0,0,2.54,0,0
087149,碩天元大3A購02,0,0,0,1.4,0,0
087151,上緯控元大3A購02,0,0,0,0.81,0,0
087152,上品元大3A購01,0,0,0,1.4,0,0
087153,全訊元大3A購01,0,0,0,1.08,0,0
087154,佳必琪元大3A購02,0,0,0,2.32,0,0
087156,佳必琪元大3A購04,0,0,0,2.24,0,0
